Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2006-07,"Bagasse, wood",GWh,3316
AUS,2006-07,Biogas,GWh,637
AUS,2006-07,Black coal,GWh,132368.5
AUS,2006-07,Brown coal,GWh,54375.8
AUS,2006-07,Geothermal,GWh,0.5
AUS,2006-07,Hydro,GWh,14517
AUS,2006-07,Large-scale solar PV,GWh,
AUS,2006-07,Natural gas,GWh,31849.9
AUS,2006-07,Oil products,GWh,2893
AUS,2006-07,Other,GWh,479
AUS,2006-07,Small-scale solar PV,GWh,104.7
AUS,2006-07,Total,GWh,243152.5
AUS,2006-07,Total non-renewable,GWh,221966.2
AUS,2006-07,Total renewable,GWh,21186.3
AUS,2006-07,Wind,GWh,2611.1
AUS,2007-08,"Bagasse, wood",GWh,3737
AUS,2007-08,Biogas,GWh,859
AUS,2007-08,Black coal,GWh,129569.3
AUS,2007-08,Brown coal,GWh,54658.7
AUS,2007-08,Geothermal,GWh,0.5
AUS,2007-08,Hydro,GWh,12056.9
AUS,2007-08,Large-scale solar PV,GWh,
AUS,2007-08,Natural gas,GWh,34955.8
AUS,2007-08,Oil products,GWh,4058
AUS,2007-08,Other,GWh,106
AUS,2007-08,Small-scale solar PV,GWh,122.8
AUS,2007-08,Total,GWh,243217.1
AUS,2007-08,Total non-renewable,GWh,223347.8
AUS,2007-08,Total renewable,GWh,19869.3
AUS,2007-08,Wind,GWh,3093.1
AUS,2008-09,"Bagasse, wood",GWh,1763.4
AUS,2008-09,Biogas,GWh,1031.8
AUS,2008-09,Black coal,GWh,127270.5
AUS,2008-09,Brown coal,GWh,56981.4
AUS,2008-09,Geothermal,GWh,0.5
AUS,2008-09,Hydro,GWh,11869.4
AUS,2008-09,Large-scale solar PV,GWh,
AUS,2008-09,Natural gas,GWh,37660.4
AUS,2008-09,Oil products,GWh,3388
AUS,2008-09,Other,GWh,3579.9
AUS,2008-09,Small-scale solar PV,GWh,155.6
AUS,2008-09,Total,GWh,247524.7
AUS,2008-09,Total non-renewable,GWh,228880.1
AUS,2008-09,Total renewable,GWh,18644.5
AUS,2008-09,Wind,GWh,3823.8
AUS,2009-10,"Bagasse, wood",GWh,1761.8
AUS,2009-10,Biogas,GWh,1015.6
AUS,2009-10,Black coal,GWh,123724.5
AUS,2009-10,Brown coal,GWh,56068.3
AUS,2009-10,Geothermal,GWh,0.5
AUS,2009-10,Hydro,GWh,13548.7
AUS,2009-10,Large-scale solar PV,GWh,
AUS,2009-10,Natural gas,GWh,44585.4
AUS,2009-10,Oil products,GWh,3106.8
AUS,2009-10,Other,GWh,2991
AUS,2009-10,Small-scale solar PV,GWh,424.9
AUS,2009-10,Total,GWh,252279.1
AUS,2009-10,Total non-renewable,GWh,230476
AUS,2009-10,Total renewable,GWh,21803.1
AUS,2009-10,Wind,GWh,5051.7
AUS,2010-11,"Bagasse, wood",GWh,1077
AUS,2010-11,Biogas,GWh,1024.7
AUS,2010-11,Black coal,GWh,116948.8
AUS,2010-11,Brown coal,GWh,55298.1
AUS,2010-11,Geothermal,GWh,0.5
AUS,2010-11,Hydro,GWh,16806.7
AUS,2010-11,Large-scale solar PV,GWh,
AUS,2010-11,Natural gas,GWh,48996.2
AUS,2010-11,Oil products,GWh,3093.8
AUS,2010-11,Other,GWh,2716.1
AUS,2010-11,Small-scale solar PV,GWh,1530.4
AUS,2010-11,Total,GWh,253577.2
AUS,2010-11,Total non-renewable,GWh,227053
AUS,2010-11,Total renewable,GWh,26524.2
AUS,2010-11,Wind,GWh,6084.9
AUS,2011-12,"Bagasse, wood",GWh,1606.306
AUS,2011-12,Biogas,GWh,1437.441
AUS,2011-12,Black coal,GWh,116654.4
AUS,2011-12,Brown coal,GWh,55067.7
AUS,2011-12,Geothermal,GWh,0.5
AUS,2011-12,Hydro,GWh,14083.3
AUS,2011-12,Large-scale solar PV,GWh,
AUS,2011-12,Natural gas,GWh,48571.6
AUS,2011-12,Oil products,GWh,2702.5
AUS,2011-12,Other,GWh,1088.1
AUS,2011-12,Small-scale solar PV,GWh,2558.7
AUS,2011-12,Total,GWh,250740.174
AUS,2011-12,Total non-renewable,GWh,224084.2
AUS,2011-12,Total renewable,GWh,26655.974
AUS,2011-12,Wind,GWh,6969.7
AUS,2012-13,"Bagasse, wood",GWh,1714.34
AUS,2012-13,Biogas,GWh,1429.16
AUS,2012-13,Black coal,GWh,111491.1
AUS,2012-13,Brown coal,GWh,47555.1
AUS,2012-13,Geothermal,GWh,0.5
AUS,2012-13,Hydro,GWh,18269.6
AUS,2012-13,Large-scale solar PV,GWh,
AUS,2012-13,Natural gas,GWh,51053.4
AUS,2012-13,Oil products,GWh,4464.3
AUS,2012-13,Other,GWh,1945.3
AUS,2012-13,Small-scale solar PV,GWh,3826.3
AUS,2012-13,Total,GWh,249708.6
AUS,2012-13,Total non-renewable,GWh,216509.2
AUS,2012-13,Total renewable,GWh,33199.4
AUS,2012-13,Wind,GWh,7959.6
AUS,2013-14,"Bagasse, wood",GWh,2053.487
AUS,2013-14,Biogas,GWh,1445.903
AUS,2013-14,Black coal,GWh,106965.495
AUS,2013-14,Brown coal,GWh,46076.2
AUS,2013-14,Geothermal,GWh,0.5
AUS,2013-14,Hydro,GWh,18420.9
AUS,2013-14,Large-scale solar PV,GWh,49.678
AUS,2013-14,Natural gas,GWh,54393.9
AUS,2013-14,Oil products,GWh,5012.3
AUS,2013-14,Other,GWh,
AUS,2013-14,Small-scale solar PV,GWh,4366.277
AUS,2013-14,Total,GWh,249036.578
AUS,2013-14,Total non-renewable,GWh,212447.895
AUS,2013-14,Total renewable,GWh,36588.683
AUS,2013-14,Wind,GWh,10251.937
AUS,2014-15,"Bagasse, wood",GWh,2353.376
AUS,2014-15,Biogas,GWh,1238.858
AUS,2014-15,Black coal,GWh,107639.4
AUS,2014-15,Brown coal,GWh,50970.4
AUS,2014-15,Geothermal,GWh,0.6
AUS,2014-15,Hydro,GWh,13445
AUS,2014-15,Large-scale solar PV,GWh,107.221
AUS,2014-15,Natural gas,GWh,52916.912
AUS,2014-15,Oil products,GWh,6828.45
AUS,2014-15,Other,GWh,
AUS,2014-15,Small-scale solar PV,GWh,5424.113
AUS,2014-15,Total,GWh,252390.832
AUS,2014-15,Total non-renewable,GWh,218355.162
AUS,2014-15,Total renewable,GWh,34035.67
AUS,2014-15,Wind,GWh,11466.501
AUS,2015-16,"Bagasse, wood",GWh,2493.407
AUS,2015-16,Biogas,GWh,1296.487
AUS,2015-16,Black coal,GWh,114263.032
AUS,2015-16,Brown coal,GWh,48827.807
AUS,2015-16,Geothermal,GWh,0.215
AUS,2015-16,Hydro,GWh,15318.18
AUS,2015-16,Large-scale solar PV,GWh,457.212
AUS,2015-16,Natural gas,GWh,50536.079
AUS,2015-16,Oil products,GWh,5655.616
AUS,2015-16,Other,GWh,
AUS,2015-16,Small-scale solar PV,GWh,6381.049
AUS,2015-16,Total,GWh,257428.586
AUS,2015-16,Total non-renewable,GWh,219282.537
AUS,2015-16,Total renewable,GWh,38146.049
AUS,2015-16,Wind,GWh,12199.499
AUS,2016-17,"Bagasse, wood",GWh,2251.59
AUS,2016-17,Biogas,GWh,1248.955
AUS,2016-17,Black coal,GWh,118235.959
AUS,2016-17,Brown coal,GWh,43594.098
AUS,2016-17,Geothermal,GWh,0.502
AUS,2016-17,Hydro,GWh,16284.886
