Jurisdiction,Year,Fuel,Unit,Quantity
SA,2022,Total,GWh,14831.553
SA,2022,Total non-renewable,GWh,4337.379
SA,2022,Total renewable,GWh,10494.174
SA,2022,Wind,GWh,6482.777
TAS,2015,Biomass,GWh,32.289
TAS,2015,Black coal,GWh,
TAS,2015,Brown coal,GWh,
TAS,2015,Geothermal,GWh,
TAS,2015,Hydro,GWh,8518.756
TAS,2015,Large-scale solar PV,GWh,0.13
TAS,2015,Natural gas,GWh,106.732
TAS,2015,Oil products,GWh,25.994
TAS,2015,Small-scale solar PV,GWh,102.592
TAS,2015,Total,GWh,9787.812
TAS,2015,Total non-renewable,GWh,132.726
TAS,2015,Total renewable,GWh,9655.086
TAS,2015,Wind,GWh,1001.319
TAS,2016,Biomass,GWh,26.766
TAS,2016,Black coal,GWh,
TAS,2016,Brown coal,GWh,
TAS,2016,Geothermal,GWh,
TAS,2016,Hydro,GWh,9062.209
TAS,2016,Large-scale solar PV,GWh,0.296
TAS,2016,Natural gas,GWh,853.809
TAS,2016,Oil products,GWh,210.797
TAS,2016,Small-scale solar PV,GWh,115.127
TAS,2016,Total,GWh,11400.326
TAS,2016,Total non-renewable,GWh,1064.606
TAS,2016,Total renewable,GWh,10335.721
TAS,2016,Wind,GWh,1131.323
TAS,2017,Biomass,GWh,24.593
TAS,2017,Black coal,GWh,
TAS,2017,Brown coal,GWh,
TAS,2017,Geothermal,GWh,
TAS,2017,Hydro,GWh,8059.097
TAS,2017,Large-scale solar PV,GWh,0.517
TAS,2017,Natural gas,GWh,1326.491
TAS,2017,Oil products,GWh,157.982
TAS,2017,Small-scale solar PV,GWh,130.338
TAS,2017,Total,GWh,10755.021
TAS,2017,Total non-renewable,GWh,1484.472
TAS,2017,Total renewable,GWh,9270.549
TAS,2017,Wind,GWh,1056.004
TAS,2018,Biomass,GWh,23.252
TAS,2018,Black coal,GWh,
TAS,2018,Brown coal,GWh,
TAS,2018,Geothermal,GWh,
TAS,2018,Hydro,GWh,10353.716
TAS,2018,Large-scale solar PV,GWh,1.591
TAS,2018,Natural gas,GWh,634.115
TAS,2018,Oil products,GWh,21.775
TAS,2018,Small-scale solar PV,GWh,150.668
TAS,2018,Total,GWh,12287.745
TAS,2018,Total non-renewable,GWh,655.89
TAS,2018,Total renewable,GWh,11631.855
TAS,2018,Wind,GWh,1102.629
TAS,2019,Biomass,GWh,29.826
TAS,2019,Black coal,GWh,
TAS,2019,Brown coal,GWh,
TAS,2019,Geothermal,GWh,
TAS,2019,Hydro,GWh,8801.637
TAS,2019,Large-scale solar PV,GWh,3.01
TAS,2019,Natural gas,GWh,589.666
TAS,2019,Oil products,GWh,19.97
TAS,2019,Small-scale solar PV,GWh,173.272
TAS,2019,Total,GWh,10832.486
TAS,2019,Total non-renewable,GWh,609.635
TAS,2019,Total renewable,GWh,10222.851
TAS,2019,Wind,GWh,1215.106
TAS,2020,Biomass,GWh,29.669
TAS,2020,Black coal,GWh,
TAS,2020,Brown coal,GWh,
TAS,2020,Geothermal,GWh,
TAS,2020,Hydro,GWh,9066.636
TAS,2020,Large-scale solar PV,GWh,2.498
TAS,2020,Natural gas,GWh,185.983
TAS,2020,Oil products,GWh,20.682
TAS,2020,Small-scale solar PV,GWh,202.259
TAS,2020,Total,GWh,11041.273
TAS,2020,Total non-renewable,GWh,206.665
TAS,2020,Total renewable,GWh,10834.608
TAS,2020,Wind,GWh,1533.545
TAS,2021,Biomass,GWh,30.484
TAS,2021,Black coal,GWh,
TAS,2021,Brown coal,GWh,
TAS,2021,Geothermal,GWh,
TAS,2021,Hydro,GWh,9421.303
TAS,2021,Large-scale solar PV,GWh,3.135
TAS,2021,Natural gas,GWh,128.511
TAS,2021,Oil products,GWh,15.256
TAS,2021,Small-scale solar PV,GWh,237.079
TAS,2021,Total,GWh,11697.437
TAS,2021,Total non-renewable,GWh,143.766
TAS,2021,Total renewable,GWh,11553.67
TAS,2021,Wind,GWh,1861.67
TAS,2022,Biomass,GWh,31.637
TAS,2022,Black coal,GWh,
TAS,2022,Brown coal,GWh,
TAS,2022,Geothermal,GWh,
TAS,2022,Hydro,GWh,8769.713
TAS,2022,Large-scale solar PV,GWh,2.839
TAS,2022,Natural gas,GWh,212.606
TAS,2022,Oil products,GWh,10.676
TAS,2022,Small-scale solar PV,GWh,273.822
TAS,2022,Total,GWh,10945.541
TAS,2022,Total non-renewable,GWh,223.282
TAS,2022,Total renewable,GWh,10722.259
TAS,2022,Wind,GWh,1644.248
VIC,2015,Biomass,GWh,736.164
VIC,2015,Black coal,GWh,
VIC,2015,Brown coal,GWh,47848.016
VIC,2015,Geothermal,GWh,
VIC,2015,Hydro,GWh,2816.089
VIC,2015,Large-scale solar PV,GWh,11.941
VIC,2015,Natural gas,GWh,1735.869
VIC,2015,Oil products,GWh,128.606
VIC,2015,Small-scale solar PV,GWh,970.048
VIC,2015,Total,GWh,57535.23
VIC,2015,Total non-renewable,GWh,49712.491
VIC,2015,Total renewable,GWh,7822.739
VIC,2015,Wind,GWh,3288.498
VIC,2016,Biomass,GWh,735.715
VIC,2016,Black coal,GWh,
VIC,2016,Brown coal,GWh,45682.731
VIC,2016,Geothermal,GWh,
VIC,2016,Hydro,GWh,4132.359
VIC,2016,Large-scale solar PV,GWh,13.578
VIC,2016,Natural gas,GWh,1688.263
VIC,2016,Oil products,GWh,140.646
VIC,2016,Small-scale solar PV,GWh,1140.794
VIC,2016,Total,GWh,57237.241
VIC,2016,Total non-renewable,GWh,47511.64
VIC,2016,Total renewable,GWh,9725.601
VIC,2016,Wind,GWh,3703.155
VIC,2017,Biomass,GWh,723.163
VIC,2017,Black coal,GWh,
VIC,2017,Brown coal,GWh,38276.668
VIC,2017,Geothermal,GWh,
VIC,2017,Hydro,GWh,2532.299
